ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
24,variable,1,,1,1,0,visible,CURB 1mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/1.jpg,,,,,,,,,0,,thelength,"16, 18, 20",1,0
25,variable,2,,2,1,0,visible,CURB 1.4mm XLT,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/2.jpg,,,,,,,,,0,,thelength,"7, 14, 15, 16, 18, 20, 22, 24, 26, 28, 30, 36",1,0
26,variable,3,,3,1,0,visible,CURB 2.2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/3.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 26, 28, 30, 36",1,0
27,variable,4,,4,1,0,visible,CURB 3.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/4.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
28,variable,5,,5,1,0,visible,CURB 3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/5.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 26, 28, 30, 36",1,0
29,simple,653,,653,1,0,visible,MEDICAL HEART PENDANT,,,,taxable,,1,,,0,0,,,,,1,,,39.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/653.jpg,,,,,,,,,0,,thelength,,1,0
30,simple,654,,654,1,0,visible,MEDICAL RECT PENDANT,,,,taxable,,1,,,0,0,,,,,1,,,43.75,,,,https://rousseauchain.com/wp-content/uploads/product_images/654.jpg,,,,,,,,,0,,thelength,,1,0
31,simple,655,,655,1,0,visible,MEDICAL OCTAGON RE PEND,,,,taxable,,1,,,0,0,,,,,1,,,8.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/655.jpg,,,,,,,,,0,,thelength,,1,0
32,simple,656,,656,1,0,visible,MEDICAL OCTAGON PENDANT,,,,taxable,,1,,,0,0,,,,,1,,,7.55,,,,https://rousseauchain.com/wp-content/uploads/product_images/656.jpg,,,,,,,,,0,,thelength,,1,0
33,simple,657,,657,1,0,visible,MEDICAL RECT R.E. PENDANT,,,,taxable,,1,,,0,0,,,,,1,,,45.65,,,,https://rousseauchain.com/wp-content/uploads/product_images/657.jpg,,,,,,,,,0,,thelength,,1,0
109,variable,6,,6,1,0,visible,CURB 1.8mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/6.jpg,,,,,,,,,0,,thelength,"7, 14, 16, 18, 20, 22, 24, 26, 28, 30, 36",1,0
110,variable,7,,7,1,0,visible,CURB 4mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/7.jpg,,,,,,,,,0,,thelength,"8, 16, 18, 20, 22, 24, 30",1,0
111,variable,8,,8,1,0,visible,CURB 5.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/8.jpg,,,,,,,,,0,,thelength,"8, 18, 20, 22, 24, 30",1,0
113,variable,10,,10,1,0,visible,OPEN CURB 1mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/10.jpg,,,,,,,,,0,,thelength,"16, 18, 20",1,0
